participant,condition,learningtype,item,itemgroup,verbtype,known,input,testmoment,bin_score,frequency,cognate,vowellength,vowelchange,structure,syllables,verbclass,lextale,age,gender,L11,L12,bilingualism,usage,proficiency_overall,proficiency_oral,proficiency_written,comprehension_oral,comprehension_written,proficiency_average,L21,L22,L23,L2s_amount
pp02,EXP,explicit,stehen,CONTR_B,control,PASS,no,T1,1,6771,yes,long,none,ITR,2,irregular,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,warten,CONTR_B,control,ACT,no,T1,1,989,yes,short,none,ITR,2,weak,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,empfangen,CRIT_A,critical,ACT,yes,T1,1,450,doubt,short,a-ae,S-V-OA-PP,3,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,fahren,CRIT_A,critical,ACT,yes,T1,0,2884,no,long,a-ae,ITR,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,fangen,CRIT_A,critical,ACT,yes,T1,1,427,yes,short,a-ae,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,fressen,CRIT_A,critical,ACT,yes,T1,0,100,yes,short,e-i,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,geben,CRIT_A,critical,ACT,yes,T1,1,10290,yes,long,e-i,S-V-OD-OA,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,laden,CRIT_A,critical,ACT,yes,T1,0,269,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,lassen,CRIT_A,critical,ACT,yes,T1,0,5577,yes,short,a-ae,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,saufen,CRIT_A,critical,ACT,yes,T1,0,15,yes,diphtong,au-aeu,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,schlafen,CRIT_A,critical,ACT,yes,T1,1,399,yes,long,a-ae,ITR,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,stehlen,CRIT_A,critical,ACT,yes,T1,0,144,yes,long,e-i,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,tragen,CRIT_A,critical,ACT,yes,T1,0,1984,yes,long,a-ae,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,treffen,CRIT_A,critical,ACT,yes,T1,0,1523,yes,short,e-i,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
pp02,EXP,explicit,treten,CRIT_A,critical,ACT,yes,T1,1,1686,yes,long,e-i,S-V-OA-PP,2,strong,66.25,23,v,NL-BE,french,bilingual,2,3,3,4,3,4,3.25,arabic,english,999,2
